DATE    ,OPEN  ,LOW   ,HI    
20110613,254.74,250.83,254.84
20110610,256.78,254.39,258.09
20110609,259.74,257.56,259.74
20110608,258.01,257.63,260.36
20110607,261.18,259.24,262.05
20110606,262.66,259.37,263.15
20110603,260.74,260.49,263.54
20110602,263.52,260.98,264.88
20110601,263.76,262.39,266.33
20110531,262.24,261.49,264.26
20110527,258.98,257.89,260.63
20110526,258.59,257.24,260.8
20110525,258.41,258.37,261.12
20110524,259.92,258.82,261.72
20110523,258.04,256.44,259.74
20110520,265.63,261.3,265.73
20110519,266.1,264.6,268
20110518,264.51,262.59,264.9
20110517,257.46,257.26,265.34
20110516,262.89,257.94,263.37
20110513,267.04,264.26,267.69
20110512,267.35,265.19,268.2
20110511,269.8,266.58,271.5
20110510,269.73,268.5,271.94
20110509,267.23,265.28,268.98
20110506,268.81,267.32,270.46
20110505,266.66,265.48,269.44
20110504,267.32,266.24,269.23
20110503,268.3,264.55,270.73
20110502,272.58,268.29,272.59
20110429,269.73,268.99,271.78
20110428,268.76,266.77,269.35
20110427,268.73,266.91,268.79
20110426,263,262.34,268.45
20110425,262.36,260.74,263.24
20110421,263.48,260.93,263.88
20110420,262.69,260.43,263.15
20110419,264.71,260.19,265.17
20110418,262.95,259.24,263.57
20110415,272.37,264.76,272.6
20110414,287.31,285.76,289.44
20110413,287.47,285.59,288.51
20110412,287.21,283.74,288.17
20110411,287.81,286.21,288.76
20110408,292.15,288.74,292.15
20110407,287.58,286.81,290.03
20110406,285.8,283.72,287.29
20110405,290.25,282.56,290.45
20110404,296.2,291.26,297.07
20110401,294.09,294.09,297.3
20110331,291.21,290.58,293.79
20110330,291.9,290,292.46
20110329,287.71,286.22,290.65
20110328,290.74,287.07,292.2
20110325,293.15,289.33,293.16
20110324,292.42,289.11,293.9
20110323,287.31,285.71,290.93
20110322,288.35,285.97,289.33
20110321,284.82,284.23,289.61
20110318,282.04,279.59,283.71
20110317,281.96,279.99,284.22
20110316,283.72,275.36,284.61
20110315,278.47,277.47,285.21
20110314,286.11,283.73,288.86
20110311,288.82,286.38,289.71
20110310,292.43,289.44,293.02
20110309,295.2,292.58,296.96
20110308,296.17,294.8,298.69
20110307,299.97,293.21,301.54
20110304,303.86,299.8,304.19
20110303,302.89,302.2,305.44
20110302,299.6,297.3,302.7
20110301,308.58,299.35,309.3
20110228,304.7,303.7,307.94
20110225,305.62,304.45,307.05
20110224,305.39,300.37,306.24
20110223,304.86,301.7,307.04
20110222,309.7,303.58,312.15
20110218,312.69,311.78,315.27
20110217,310.31,309.83,313.31
20110216,312.5,310.74,312.94
20110215,313.35,311.24,314.73
20110214,311.36,309.71,314.5
20110211,306.59,306.19,312.19
20110210,306.64,305.47,308.44
20110209,308.13,305.86,309.42
20110208,307.16,306.95,309.5
20110207,304.78,304.3,308.89
20110204,304.77,303,305.42
20110203,304.44,302.76,305.42
20110202,305.19,303.46,306.86
20110201,301.94,301.25,306.37
20110131,301.5,297.48,301.93
20110128,309.23,299.58,309.87
20110127,308.64,306.32,309.54
20110126,309.85,307.33,310.93
20110125,303.8,302.96,310.03
20110124,303.48,300.31,305.94
20110121,319.47,305.37,320.54
20110120,315.79,311.33,316.72
20110119,320.74,314.52,321.16
20110118,312.72,312.32,320.67
20110114,308.39,308.23,311.82
20110113,308.18,306.77,309.53
20110112,309.37,307.08,309.37
20110111,308.55,306.94,309.09
20110110,307.09,303.98,307.39
20110107,307.65,304.76,308.82
20110106,305.03,304.72,308.91
20110105,299.73,299.72,304.86
20110104,302.51,299.76,302.79
20110103,297.94,297.94,302.49
20101231,298.07,295.72,298.91
20101230,298.7,298.4,300.37
20101229,300.7,299.16,300.9
20101228,300.72,298.71,301.63
20101227,301.07,299.45,301.59
20101223,302.37,300.71,302.7
20101222,301.7,301.34,303.2
20101221,298.99,298.51,302.06
